id,commonName,placeType,lat,lon
BikePoints_86,"Sancroft Street, Vauxhall",BikePoint,51.489479,-0.115156
BikePoints_88,"Percy Street, Bloomsbury",BikePoint,51.51863,-0.132676
BikePoints_89,"Tavistock Place, Bloomsbury",BikePoint,51.52625,-0.123509
BikePoints_90,"Harrington Square 1, Camden Town",BikePoint,51.533019,-0.139174
BikePoints_91,"Walnut Tree Walk, Vauxhall",BikePoint,51.493686,-0.111014
BikePoints_92,"Borough Road, Elephant & Castle",BikePoint,51.498898,-0.10044
BikePoints_93,"Cloudesley Road, Angel",BikePoint,51.534408,-0.109025
BikePoints_94,"Bricklayers Arms, Borough",BikePoint,51.495061,-0.085814
BikePoints_95,"Aldersgate Street, Barbican",BikePoint,51.520841,-0.09734
BikePoints_96,"Falkirk Street, Hoxton",BikePoint,51.53095,-0.078505
BikePoints_97,"Gloucester Road (North), Kensington",BikePoint,51.497924,-0.183834
BikePoints_98,"Hampstead Road, Euston",BikePoint,51.525542,-0.138231
BikePoints_101,"Queen Street 1, Bank",BikePoint,51.511553,-0.09294
BikePoints_102,"Jewry Street, Aldgate",BikePoint,51.513406,-0.076793
BikePoints_103,"Vicarage Gate, Kensington",BikePoint,51.504723,-0.192538
BikePoints_104,"Crosswall, Tower",BikePoint,51.511594,-0.077121
BikePoints_105,"Westbourne Grove, Bayswater",BikePoint,51.515529,-0.19024
BikePoints_106,"Woodstock Street, Mayfair",BikePoint,51.514105,-0.147301
BikePoints_107,"Finsbury Leisure Centre, St. Luke's",BikePoint,51.526008,-0.096317
BikePoints_109,"Soho Square , Soho",BikePoint,51.515631,-0.132328
BikePoints_110,"Wellington Road, St. John's Wood",BikePoint,51.533043,-0.172528
BikePoints_111,"Park Lane , Hyde Park",BikePoint,51.510017,-0.157275
BikePoints_112,"Stonecutter Street, Holborn",BikePoint,51.515809,-0.10527
BikePoints_113,"Gloucester Road (Central), South Kensington",BikePoint,51.496462,-0.183289
BikePoints_114,"Park Road (Baker Street), The Regent's Park",BikePoint,51.524517,-0.158963
BikePoints_115,"Braham Street, Aldgate",BikePoint,51.514233,-0.073537
BikePoints_116,"Little Argyll Street, West End",BikePoint,51.514499,-0.141423
BikePoints_117,"Lollard Street, Vauxhall",BikePoint,51.49288,-0.114934
BikePoints_118,"Rochester Row, Westminster",BikePoint,51.495827,-0.135478
BikePoints_119,"Bath Street, St. Luke's",BikePoint,51.525893,-0.090847
BikePoints_120,"The Guildhall, Guildhall",BikePoint,51.515735,-0.09308
BikePoints_121,"Baker Street, Marylebone",BikePoint,51.518913,-0.156166
BikePoints_122,"Norton Folgate, Liverpool Street",BikePoint,51.521113,-0.078869
BikePoints_123,"St. John Street, Finsbury",BikePoint,51.52836,-0.104724
BikePoints_124,"Eaton Square, Belgravia",BikePoint,51.496544,-0.150905
BikePoints_125,"Borough High Street, The Borough",BikePoint,51.500694,-0.094524
BikePoints_126,"Museum of London, Barbican",BikePoint,51.517821,-0.096496
BikePoints_127,"Wood Street, Guildhall",BikePoint,51.517008,-0.093885
BikePoints_128,"Emperor's Gate, South Kensington",BikePoint,51.495362,-0.185296
BikePoints_129,"Golden Square, Soho",BikePoint,51.511897,-0.137043
BikePoints_130,"Tower Gardens , Tower",BikePoint,51.509506,-0.075459
BikePoints_131,"Eversholt Street , Camden Town",BikePoint,51.533005,-0.136792
BikePoints_132,"Bethnal Green Road, Shoreditch",BikePoint,51.523648,-0.074754
BikePoints_133,"Derry Street, Kensington",BikePoint,51.501364,-0.191462
BikePoints_134,"Wapping High Street, Wapping",BikePoint,51.504904,-0.06797
BikePoints_135,"Clerkenwell Green, Clerkenwell",BikePoint,51.52326,-0.104708
BikePoints_136,"Queen Victoria Street, St. Paul's",BikePoint,51.511961,-0.097441
BikePoints_138,"Green Street, Mayfair",BikePoint,51.512276,-0.157436
BikePoints_139,"Lambeth Road, Vauxhall",BikePoint,51.494881,-0.117974
BikePoints_140,"Finsbury Square , Moorgate",BikePoint,51.520962,-0.085634
BikePoints_141,"Chapel Place, Marylebone",BikePoint,51.515308,-0.147203
BikePoints_142,"West Cromwell Road, Earl's Court",BikePoint,51.493724,-0.198286
BikePoints_143,"Pont Street, Knightsbridge",BikePoint,51.496886,-0.161203
BikePoints_144,"Kennington Cross, Kennington",BikePoint,51.48894,-0.111435
BikePoints_145,"Ilchester Place, Kensington",BikePoint,51.500743,-0.202759
BikePoints_146,"Vauxhall Bridge , Pimlico",BikePoint,51.488365,-0.129361
BikePoints_147,"Portugal Street, Holborn",BikePoint,51.514943,-0.116146
BikePoints_148,"Tachbrook Street, Victoria",BikePoint,51.492111,-0.138364
BikePoints_149,"Kennington Road Post Office, Oval",BikePoint,51.484788,-0.110683
BikePoints_150,"Holy Trinity Brompton, Knightsbridge",BikePoint,51.497056,-0.168917
BikePoints_151,"Chepstow Villas, Notting Hill",BikePoint,51.512136,-0.201554
BikePoints_152,"Hampton Street, Walworth",BikePoint,51.49217,-0.101536
BikePoints_153,"Bayswater Road, Hyde Park",BikePoint,51.511933,-0.174411
BikePoints_154,"Waterloo Station 3, Waterloo",BikePoint,51.503791,-0.112824
BikePoints_155,"Lexham Gardens, Kensington",BikePoint,51.495866,-0.191933
BikePoints_156,"New Kent Road, The Borough",BikePoint,51.494436,-0.092921
BikePoints_157,"Wright's Lane, Kensington",BikePoint,51.500397,-0.193068
BikePoints_158,"Trebovir Road, Earl's Court",BikePoint,51.490853,-0.19617
BikePoints_160,"Waterloo Place, St. James's",BikePoint,51.506633,-0.131773
BikePoints_161,"Guildhouse Street, Victoria",BikePoint,51.492345,-0.141334
BikePoints_162,"Southampton Place, Holborn",BikePoint,51.517606,-0.121328
BikePoints_163,"Sloane Avenue, Knightsbridge",BikePoint,51.493184,-0.167894
BikePoints_164,"Cleveland Gardens, Bayswater",BikePoint,51.515607,-0.183118
BikePoints_165,"Orsett Terrace, Bayswater",BikePoint,51.517932,-0.183716
BikePoints_166,"Seville Street, Knightsbridge",BikePoint,51.501855,-0.159237
BikePoints_167,"Eccleston Place, Victoria",BikePoint,51.49395,-0.147624
BikePoints_168,"Argyll Road, Kensington",BikePoint,51.500401,-0.195455
BikePoints_169,"Porchester Place, Paddington",BikePoint,51.514746,-0.165164
BikePoints_170,"Hardwick Street, Clerkenwell",BikePoint,51.527842,-0.108068
BikePoints_171,"Collingham Gardens, Earl's Court",BikePoint,51.491615,-0.186753
BikePoints_172,"Sumner Place, South Kensington",BikePoint,51.491211,-0.173715
BikePoints_173,"Waterloo Road, South Bank",BikePoint,51.50486,-0.113001
BikePoints_175,"Worship Street, Shoreditch",BikePoint,51.521668,-0.079608
BikePoints_176,"Gloucester Terrace, Bayswater",BikePoint,51.517919,-0.188098
BikePoints_177,"Ashley Place, Victoria",BikePoint,51.49616,-0.140947
BikePoints_178,"Warwick Square, Pimlico",BikePoint,51.489856,-0.141923
BikePoints_180,"North Audley Street, Mayfair",BikePoint,51.512911,-0.153645
BikePoints_181,"Belgrave Square, Belgravia",BikePoint,51.499412,-0.152317
BikePoints_182,"Bell Street , Marylebone",BikePoint,51.522029,-0.165842
BikePoints_183,"Riverlight North, Nine Elms",BikePoint,51.482362,-0.136123
BikePoints_184,"Portland Place, Marylebone",BikePoint,51.520715,-0.145211
BikePoints_185,"Alderney Street, Pimlico",BikePoint,51.488057,-0.140741
BikePoints_186,"South Wharf Road, Paddington",BikePoint,51.517335,-0.17581
BikePoints_187,"Queen's Gate (South), South Kensington",BikePoint,51.492479,-0.178433
BikePoints_188,"Nutford Place, Marylebone",BikePoint,51.516517,-0.164393
BikePoints_189,"Claremont Square, Angel",BikePoint,51.531666,-0.109914
BikePoints_190,"Rampayne Street, Pimlico",BikePoint,51.489975,-0.132845
BikePoints_191,"Hyde Park Corner, Hyde Park",BikePoint,51.503117,-0.15352
BikePoints_192,"Wardour Street, Soho",BikePoint,51.512515,-0.133201
BikePoints_193,"Bankside Mix, Bankside",BikePoint,51.505817,-0.100186
BikePoints_194,"Hop Exchange, The Borough",BikePoint,51.504627,-0.091773
BikePoints_195,"Milroy Walk, South Bank",BikePoint,51.507244,-0.106237
BikePoints_196,"Union Street, The Borough",BikePoint,51.503688,-0.098497
BikePoints_197,"Stamford Street, South Bank",BikePoint,51.505569,-0.111606
BikePoints_199,"Great Tower Street, Monument",BikePoint,51.510484,-0.082989
BikePoints_200,"LMU Commercial Road, Whitechapel",BikePoint,51.514924,-0.066078
BikePoints_201,"Dorset Square, Marylebone",BikePoint,51.522596,-0.161113
BikePoints_202,"Leman Street, Aldgate",BikePoint,51.512363,-0.069542
BikePoints_203,"West Smithfield Rotunda, Farringdon",BikePoint,51.518218,-0.100791
BikePoints_204,"Margery Street, Clerkenwell",BikePoint,51.526599,-0.112432
BikePoints_205,"New Road  2, Whitechapel",BikePoint,51.518144,-0.06275
BikePoints_206,"New Road 1 , Whitechapel",BikePoint,51.518154,-0.062697
BikePoints_207,"Grosvenor Crescent, Belgravia",BikePoint,51.501352,-0.153194
BikePoints_208,"Mallory Street, Marylebone",BikePoint,51.525051,-0.166304
BikePoints_209,"Denyer Street, Knightsbridge",BikePoint,51.493583,-0.165101
BikePoints_210,"Hinde Street, Marylebone",BikePoint,51.516814,-0.151926
BikePoints_211,"Cadogan Place, Knightsbridge",BikePoint,51.494645,-0.158105
BikePoints_212,"Campden Hill Road, Notting Hill",BikePoint,51.506584,-0.199004
BikePoints_213,"Wellington Arch, Hyde Park",BikePoint,51.50274,-0.149569
BikePoints_214,"Endsleigh Gardens, Euston",BikePoint,51.526838,-0.130504
BikePoints_215,"Moorfields, Moorgate",BikePoint,51.519069,-0.088285
