date_key,date,year,month,day,weekday,hour
20240102,2024-01-02 11:49:00,2024,1,2,Tuesday,11
20240102,2024-01-02 11:52:00,2024,1,2,Tuesday,11
20240102,2024-01-02 11:54:00,2024,1,2,Tuesday,11
20240102,2024-01-02 11:56:00,2024,1,2,Tuesday,11
20240102,2024-01-02 12:02:00,2024,1,2,Tuesday,12
20240102,2024-01-02 12:07:00,2024,1,2,Tuesday,12
20240102,2024-01-02 12:10:00,2024,1,2,Tuesday,12
20240102,2024-01-02 12:16:00,2024,1,2,Tuesday,12
20240102,2024-01-02 12:17:00,2024,1,2,Tuesday,12
20240102,2024-01-02 12:30:00,2024,1,2,Tuesday,12
20240102,2024-01-02 12:38:00,2024,1,2,Tuesday,12
20240102,2024-01-02 12:41:00,2024,1,2,Tuesday,12
20240102,2024-01-02 12:51:00,2024,1,2,Tuesday,12
20240102,2024-01-02 12:58:00,2024,1,2,Tuesday,12
20240102,2024-01-02 13:10:00,2024,1,2,Tuesday,13
20240102,2024-01-02 13:49:00,2024,1,2,Tuesday,13
20240102,2024-01-02 14:03:00,2024,1,2,Tuesday,14
20240102,2024-01-02 14:04:00,2024,1,2,Tuesday,14
20240102,2024-01-02 14:06:00,2024,1,2,Tuesday,14
20240102,2024-01-02 14:13:00,2024,1,2,Tuesday,14
20240102,2024-01-02 14:16:00,2024,1,2,Tuesday,14
20240102,2024-01-02 14:18:00,2024,1,2,Tuesday,14
20240102,2024-01-02 14:33:00,2024,1,2,Tuesday,14
20240102,2024-01-02 16:36:00,2024,1,2,Tuesday,16
20240102,2024-01-02 17:11:00,2024,1,2,Tuesday,17
20240102,2024-01-02 17:29:00,2024,1,2,Tuesday,17
20240102,2024-01-02 17:30:00,2024,1,2,Tuesday,17
20240102,2024-01-02 17:37:00,2024,1,2,Tuesday,17
20240102,2024-01-02 17:46:00,2024,1,2,Tuesday,17
20240102,2024-01-02 17:57:00,2024,1,2,Tuesday,17
20240102,2024-01-02 18:21:00,2024,1,2,Tuesday,18
20240102,2024-01-02 18:27:00,2024,1,2,Tuesday,18
20240102,2024-01-02 18:44:00,2024,1,2,Tuesday,18
20240102,2024-01-02 18:48:00,2024,1,2,Tuesday,18
20240102,2024-01-02 18:58:00,2024,1,2,Tuesday,18
20240102,2024-01-02 19:34:00,2024,1,2,Tuesday,19
20240102,2024-01-02 19:54:00,2024,1,2,Tuesday,19
20240102,2024-01-02 19:55:00,2024,1,2,Tuesday,19
20240102,2024-01-02 19:57:00,2024,1,2,Tuesday,19
20240102,2024-01-02 20:15:00,2024,1,2,Tuesday,20
20240102,2024-01-02 20:41:00,2024,1,2,Tuesday,20
20240102,2024-01-02 21:11:00,2024,1,2,Tuesday,21
20240102,2024-01-02 21:13:00,2024,1,2,Tuesday,21
20240102,2024-01-02 21:41:00,2024,1,2,Tuesday,21
20240102,2024-01-02 21:45:00,2024,1,2,Tuesday,21
20240102,2024-01-02 22:25:00,2024,1,2,Tuesday,22
20240102,2024-01-02 22:40:00,2024,1,2,Tuesday,22
20240102,2024-01-02 23:30:00,2024,1,2,Tuesday,23
20240102,2024-01-02 23:35:00,2024,1,2,Tuesday,23
20240103,2024-01-03 00:00:00,2024,1,3,Wednesday,0
20240103,2024-01-03 00:20:00,2024,1,3,Wednesday,0
20240103,2024-01-03 01:15:00,2024,1,3,Wednesday,1
20240103,2024-01-03 02:00:00,2024,1,3,Wednesday,2
20240103,2024-01-03 02:35:00,2024,1,3,Wednesday,2
20240103,2024-01-03 03:05:00,2024,1,3,Wednesday,3
20240103,2024-01-03 03:10:00,2024,1,3,Wednesday,3
20240103,2024-01-03 03:30:00,2024,1,3,Wednesday,3
20240103,2024-01-03 03:40:00,2024,1,3,Wednesday,3
20240103,2024-01-03 05:25:00,2024,1,3,Wednesday,5
20240103,2024-01-03 05:40:00,2024,1,3,Wednesday,5
20240103,2024-01-03 07:35:00,2024,1,3,Wednesday,7
20240103,2024-01-03 07:36:00,2024,1,3,Wednesday,7
20240103,2024-01-03 08:19:00,2024,1,3,Wednesday,8
