ubicacion_key,cod_distrito,distrito,localizacion,tipo_via,via,numero,cp
73,11,CARABANCHEL,CALL. ALCAUDON / CALL. CABO NICOLAS MUR,,,54,
74,3,RETIRO,AVDA. CIUDAD DE BARCELONA / AUTOV. M-30,,,113,
75,17,VILLAVERDE,"CALL. EDUARDO BARREIROS, 104",,,104,
76,12,USERA,AVENIDA DE ANDALUCIA CON M-30,,,1,
77,20,SAN BLAS-CANILLEJAS,"CALL. ALCALA, 728",,,728,
78,4,SALAMANCA,CALL. ALCALA / IDB. PUENTE DE VENTAS,,,235,
79,21,BARAJAS,CALL. ARTEMISA / Puente M-11,,,0,
80,7,CHAMBERÍ,CALL. FERNANDEZ DE LOS RIOS / CALL. ANDRES MELLADO,,,82,
81,8,FUENCARRAL-EL PARDO,AVDA. BETANZOS / CALL. CHANTADA,,,35,
82,20,SAN BLAS-CANILLEJAS,"CALL. ALCALA, 690A",,,690A,
83,12,USERA,"AUTOV. M-30, 14XL24",,,14XL24,
84,15,CIUDAD LINEAL,"CALL. ARTURO SORIA, 200",,,200,
85,12,USERA,CALL. VIRGEN DE LAS CRUCES / CALL. SAN MAXIMO,,,4,
86,13,PUENTE DE VALLECAS,"CALL. SAN CLAUDIO, 148",,,148,
87,18,VILLA DE VALLECAS,CALL. VILLAR DEL POZO / CALL. MUELA DE SAN JUAN,,,1,
88,11,CARABANCHEL,"CALL. VIA CARPETANA, 67",,,67,
89,5,CHAMARTÍN,"PASEO. CASTELLANA, 298",,,298,
90,10,LATINA,"PASEO. EXTREMADURA, 21",,,21,
91,5,CHAMARTÍN,"AUTOV. M-30, 02NC20",,,02NC20,
92,4,SALAMANCA,"CALL. SERRANO, 56",,,56,
93,10,LATINA,CALL. BLAS CABRERA / CALL. OLIVA DE PLASENCIA,,,1,
94,20,SAN BLAS-CANILLEJAS,"PLAZA. ALSACIA, 1",,,1,
95,5,CHAMARTÍN,"CALL. POTOSI, 9",,,9,
96,7,CHAMBERÍ,CALL. ALBERTO AGUILERA / CALL. GAZTAMBIDE,,,74,
97,1,CENTRO,"CALL. ALCALA, 45",,,45,
98,16,HORTALEZA,CALL. SANTA VIRGILIA / CALL. ARCOS,,,3A,
99,7,CHAMBERÍ,"CALL. ALBERTO AGUILERA, 26",,,26,
100,4,SALAMANCA,"CALL. GOYA, 89",,,89,
101,4,SALAMANCA,CALL. JUAN BRAVO / CALL. CASTELLO,,,28,
102,11,CARABANCHEL,"AUTOV. A-42, +00500S",,,+00500S,
103,4,SALAMANCA,CALL. SERRANO / CALL. JOSE ORTEGA Y GASSET,,,74,
104,17,VILLAVERDE,CALL. BURJASOT / CALL. BENIFERRI,,,4,
105,21,BARAJAS,CALL. ARTEMISA / CALL. AERONAVE,,,0,
106,5,CHAMARTÍN,"CALL. JOAQUIN COSTA, 36",,,36,
107,7,CHAMBERÍ,CALL. PONZANO / CALL. JOSE ABASCAL,,,20,
108,16,HORTALEZA,CALL. JAVIER DEL QUINTO / GTA. SANDRO PERTINI,,,2,
109,15,CIUDAD LINEAL,CALL. HERMANOS GARCIA NOBLEJAS / CALL. SANTO DOMINGO SAVIO,,,66,
110,6,TETUÁN,CALL. SINESIO DELGADO / AVDA. ASTURIAS,,,1,
111,1,CENTRO,"RONDA. ATOCHA, 34",,,34,
112,14,MORATALAZ,"CALL. HACIENDA DE PAVONES, 256",,,256,
113,2,ARGANZUELA,CALL. RETAMA / CALL. ACANTO,,,5,
114,16,HORTALEZA,CTRA. ESTACION DE HORTALEZA / CALL. DOÑA GUIOMAR,,,11,
115,8,FUENCARRAL-EL PARDO,"AUTOV. M-30, 32XC20",,,32XC20,
116,17,VILLAVERDE,"CALL. DOMINGO PARRAGA, 86",,,86,
117,13,PUENTE DE VALLECAS,"AUTOV. M-30, 08RT07",,,08RT07,
118,15,CIUDAD LINEAL,"CALL. APOSTOL SANTIAGO, 6",,,6,
119,10,LATINA,"CALL. SESEÑA, 15",,,15,
120,14,MORATALAZ,CALL. CAMINO DE LOS VINATEROS / CALL. ARROYO BELINCOSO,,,70,
121,3,RETIRO,CALL. ABTAO / CALL. GRANADA,,,5,
122,4,SALAMANCA,"AVDA. AMERICA, 32",,,32,
123,19,VICÁLVARO,CALL. VILLARDONDIEGO / CALL. VILLACARLOS,,,34,
124,12,USERA,CALL. AMOR HERMOSO / CALL. ANTONIO VELASCO ZAZO,,,100,
